State,Latitude,Longitude,Prevalence,Total,Fatalities by Age: 0-20,Fatalities by Age: 21-34,Fatalities by Age 35+,Fatalities by Age: All Ages,Fatalities: Male,Fatalities: Female
Alabama,32.806671,-86.79113,1.7,3190,2.7,10.3,5,5.5,8.4,2.9
Alaska,61.370716,-152.404419,1.2,222,,,,,,
Arizona,33.729759,-111.431221,1.7,2912,1.6,6.9,3.3,3.6,5.4,1.7
Arkansas,34.969704,-92.373123,1,1769,,10.5,4.3,5.1,8.1,2.2
California,36.116203,-119.681564,1.8,10327,0.9,4.5,1.8,2,3.2,1
Colorado,39.059811,-105.311104,1.9,1702,,5.6,2,2.5,3.9,1.1
Connecticut,41.597782,-72.755371,2.1,1039,,5.9,2.1,2.4,3.7,1.1
Delaware,39.318523,-75.507141,2.7,427,,,4,3.8,6.6,
District of Columbia,38.897438,-77.026817,1.8,124,,,,,,
Florida,27.766279,-81.686783,2.1,8476,1.2,8,3.3,3.7,5.7,1.7
Georgia,33.040619,-83.643074,1.4,3699,1,5.8,3.1,3,4.9,1.2
Hawaii,21.094318,-157.498337,2.9,484,,,3.2,3.8,5.7,
Idaho,44.240459,-114.478828,1.2,712,,8.7,2.7,3.6,5.8,
Illinois,40.349457,-88.986137,2.2,3866,0.7,6,2.1,2.5,4,1
Indiana,39.849426,-86.258278,1.6,2210,1.2,7.2,3.5,3.6,6,1.3
Iowa,42.011539,-93.210526,3.1,968,,5.9,2.9,3.2,5.1,
Kansas,38.5266,-96.726486,2.1,1214,2.3,6,3,3.4,6,
Kentucky,37.66814,-84.670067,1.5,2041,1.8,7.2,3.7,4,6.5,1.5
Louisiana,31.169546,-91.867805,2.5,3046,2.8,8.6,5.1,5.2,8.3,2.4
Maine,44.693947,-69.381927,1.2,491,,,2.8,3.8,6.6,
Maryland,39.063946,-76.802101,2.1,1716,1.6,5.8,2.2,2.7,4.1,1.4
Massachusetts,42.230171,-71.530106,2.2,1370,,3.3,1.7,1.8,2.7,0.9
Michigan,43.326618,-84.536095,1.9,2912,1.1,6.8,2,2.7,4.3,1.2
Minnesota,45.694454,-93.900192,2.4,1442,,3.7,2.2,2.1,3.2,1.2
Mississippi,32.741646,-89.678696,1.2,2560,2.6,12,5.7,6.1,9.8,2.7
Missouri,38.456085,-92.288368,1.8,3314,1.9,9.5,4.4,4.8,7.8,1.8
Montana,46.921925,-110.454353,3.4,932,,21.4,7.2,9.4,14.9,4
Nebraska,41.12537,-98.268082,3.4,682,,6.5,3.5,4,6.4,
Nevada,38.313515,-117.055374,1.8,1025,,4.6,3.2,2.8,4.2,1.4
New Hampshire,43.452492,-71.563896,1.4,399,,,2.9,2.4,4.1,
New Jersey,40.298904,-74.521011,1.5,1816,,4.6,1.4,1.8,2.9,0.9
New Mexico,34.840515,-106.248482,1.2,1254,,9.1,4.5,4.8,6.9,2.9
New York,42.165726,-74.948051,1.4,3752,0.6,3.3,1.7,1.7,2.7,0.8
North Carolina,35.630066,-79.806419,1.4,4102,1.7,8,4,4.2,6.8,1.7
North Dakota,47.528912,-99.784012,3.3,502,,15.3,12,11.3,17.4,
Ohio,40.388783,-82.764915,2.2,3637,1.2,6.8,3.3,3.5,5.5,1.6
Oklahoma,35.565342,-96.928917,1.8,2205,,10.5,5.8,5.6,9.3,1.9
Oregon,44.572021,-122.070938,1.4,1232,,5.2,1.8,2.2,3.1,1.3
Pennsylvania,40.590752,-77.209755,1.8,4663,1.4,7.2,2.8,3.3,5.4,1.3
Rhode Island,41.680893,-71.51178,2.4,308,,,,2.3,,
South Carolina,33.856892,-80.945007,1.6,3870,2.8,14.2,7.6,7.6,12.3,3.2
South Dakota,44.299782,-99.438828,2.5,537,,,,5.7,7.4,
Tennessee,35.747845,-86.692345,1.1,3423,1.6,8,4.9,4.6,7.5,1.8
Texas,31.054487,-97.563461,2.1,13138,2.1,10,4.7,4.9,7.6,2.4
Utah,40.150032,-111.862434,0.7,469,,,1.9,1.2,1.7,
Vermont,44.045876,-72.710686,1.8,212,,,,3.4,,
Virginia,37.769337,-78.169968,1.4,2613,1.2,4.5,2.6,2.5,4.1,0.9
Washington,47.400902,-121.490494,2.1,1921,,4,2,2.1,3.6,0.7
West Virginia,38.491226,-80.954453,0.7,1092,,12.9,4.4,5.6,9.3,
Wisconsin,44.268543,-89.616508,3.1,2577,1.6,6.5,3.5,3.6,5.6,1.6
Wyoming,42.755966,-107.30249,2.2,506,,17.3,,7.1,11.3,
